
 5  60  40  39

37  1  1
61  1  1
85  1  1
109  1  1
133  1  1

19  1  1
19  1  2
19  1  3
25  1  1
25  1  2
25  1  3
31  1  1
31  1  2
31  1  3
37  1  1
37  1  2
37  1  3
43  1  1
43  1  2
43  1  3
49  1  1
49  1  2
49  1  3
55  1  1
55  1  2
55  1  3
61  1  1
61  1  2
61  1  3
67  1  1
67  1  2
67  1  3
73  1  1
73  1  2
73  1  3
79  1  1
79  1  2
79  1  3
85  1  1
85  1  2
85  1  3
91  1  1
91  1  2
91  1  3
97  1  1
97  1  2
97  1  3
103  1  1
103  1  2
103  1  3
109  1  1
109  1  2
109  1  3
115  1  1
115  1  2
115  1  3
121  1  1
121  1  2
121  1  3
127  1  1
127  1  2
127  1  3
133  1  1
133  1  2
133  1  3

19  1  3
25  1  3
31  1  3
37  1  3
43  1  3
49  1  3
55  1  3
61  1  3
67  1  3
73  1  3
79  1  3
85  1  3
91  1  3
97  1  3
103  1  3
109  1  3
115  1  3
121  1  3
127  1  3
133  1  3
19  1  2
25  1  2
31  1  2
37  1  2
43  1  2
49  1  2
55  1  2
61  1  2
67  1  2
73  1  2
79  1  2
85  1  2
91  1  2
97  1  2
103  1  2
109  1  2
115  1  2
121  1  2
127  1  2
133  1  2

19  1
19  1
25  1
25  1
31  1
31  1
37  1
37  1
43  1
43  1
49  1
49  1
55  1
55  1
61  1
61  1
67  1
67  1
73  1
73  1
79  1
79  1
85  1
85  1
91  1
91  1
97  1
97  1
103  1
103  1
109  1
109  1
115  1
115  1
121  1
121  1
127  1
127  1
133  1

